title,date,location,organizer,link,description
History Club x Phi Alpha Theta: Spring Book Sale,"Wednesday, February 26 at 10:00AM EST",1st Floor Lobby SBS Building,History Club,https://stonybrook.campuslabs.com/engage/event/11063894,"Come join the History Club and Phi Alpha Theta for our Spring Book sale!
Discover a wide selection of History books, from American and European history to Russian and Asian history; we have a little something for everyone! Perfect for the history buffs or the casual history enjoyer alike.
All proceeds will make the History Club a bigger and better organization, going towards events and trips! Ask E-Board members for more information.
Don't miss this opportunity to find your next great read while contributing to the growth of our vibrant academic community."
Art Market,"Wednesday, February 26 at 12:00PM EST",SAC BUS LOOP,N/A,https://stonybrook.campuslabs.com/engage/event/11051398,Fundraising for humanitarian aid through art.
CPO's Mini Series Workshop SLEEP Session #1,"Wednesday, February 26 at 3:00PM EST","CPO Office, Union 108",Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10984478,"Join CPO for Session #1 of our new three part Mini Series on SLEEP!
Learn about the science of sleep, why we have to sleep everyday and how college students sleep can impact everything from learning, GPA to driving!
CPO Office Union 108 3-4pm"
Spring '25 Open Practice,"Wednesday, February 26 at 3:30PM EST",Walter J. Hawrys Campus Recreation Center,Women's Club Basketball,https://stonybrook.campuslabs.com/engage/event/10971553,"Our weekly practices focus on developing skills that can translate to both athletic ability and personal life skills. This time allows for the engagement with a community of girls who enjoy playing the game of basketball together. We are also using this time to prepare for club events, games, tournaments, etc."
Forensic Biology Crime Scene (w/ Prof. Guglielmo),"Wednesday, February 26 at 4:00PM EST",SAC303,Pre- CLS Club,https://stonybrook.campuslabs.com/engage/event/11100083,"Step into the shoes of a forensic biologist and unravel the mysteries hidden in DNA, blood spatter, and microscopic clues! In this thrilling Crime Scene Presentation Event, you'll witness science in action as Prof. Guglielmo, the Chair of the CLS Department, breaks down the evidence from a crime scene."
Forensic Biology Crime Scene (w/ Prof. Guglielmo),"Wednesday, February 26 at 4:00PM EST",SAC303,Pre- CLS Club,https://stonybrook.campuslabs.com/engage/event/11100082,"Step into the shoes of a forensic biologist and unravel the mysteries hidden in DNA, blood spatter, and microscopic clues! In this thrilling Crime Scene Presentation Event, you'll witness science in action as Prof. Guglielmo, the Chair of the CLS Department, breaks down the evidence from a crime scene."
Red Watch Band Training,"Wednesday, February 26 at 3:00PM EST",SAC 305,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10836202,"Part of the CPO Upstander program - Red Watch Band teaches students how to identify an overdose and how to call for help to save a life!

You must register for this training at tinyurl.com/cpobystander

To earn the Upstander Award (includes a certificate and graduation cord), you will need to complete the following:
May 2026 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2026
May 2027 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2027
May 2028 graduates: complete Red Watch Band, QPR, Green Dot AND Hands-Only CPR by January 1, 2028

For accessibility needs please contact prevention_outreach@stonybrook.edu"
Weekly SBU Kendo Armor Practice,"Wednesday, February 26 at 3:30PM EST",MAC Court in Recreation Center,Kendo Club at SBU,https://stonybrook.campuslabs.com/engage/event/11032878,"Weekly SBU kendo armor practice at the MAC court. *The MAC court is located in the basement of the Recreation Center.
No experience is needed, everyone is welcome. All equipment will be provided."
Bookish Banter,"Wednesday, February 26 at 5:00PM EST",SAC 304,The Brook Corner,https://stonybrook.campuslabs.com/engage/event/11091564,Want to be part of a book club? Want to meet fellow book lovers or get into reading?? Join The Brook Corner as we discuss about this month's Monthly Book Pick (MBP) and more!!
Paper Airplanes Do's and Dont's of Tutoring,"Wednesday, February 26 at 5:00PM EST",Frey Hall 316,Paper Airplanes,https://stonybrook.campuslabs.com/engage/event/11095666,"Join us for an evening filled with fun, friendly competition on Kahoot!"
Student Affairs Undergraduate Fellow Internship 2025-2026 - Virtual Information Sessions,"Wednesday, February 26 at 5:00PM EST",Online,Student Affairs,https://stonybrook.campuslabs.com/engage/event/11100610,
C3/SJS Information Session #2,"Wednesday, February 26 at 5:15PM EST",Lauterbur Classroom,Chávez Tubman and Nobel Community,https://stonybrook.campuslabs.com/engage/event/11050582,"Join us for an info session on C3 (Chavez Community Changers) and Socially Just Seawolves (SJS) on February 26th, from 5:15 PM-6:15 PM at the Lauterbur Classroom, and learn how you can take part in powerful advocacy, leadership, and service-learning initiatives."
Rewriting Your Relationship with Food & Body,"Wednesday, February 26 at 5:00PM EST",Center for Prevention and Outreach,N/A,https://stonybrook.campuslabs.com/engage/event/11078770,"Do you struggle with eating or body image issues? In honor of National Eating Disorders Awareness Week, Counseling and Psychological Services (CAPS) and Student Health Services (SHS) Nutrition present Rewriting Your Relationship with Food & Body. In this 1.5 hour workshop, students will develop a greater understanding of their own challenges with eating and body image issues, learn tangible tools to enhance their relationship with food and body, and connect with other students who have similar experiences and goals."
Reading Black Feminism to Read Ourselves- English Education Workshop Series,"Wednesday, February 26 at 5:30PM EST",Online,N/A,https://stonybrook.campuslabs.com/engage/event/11026519,Join Ileana Jiménez for this workshop which will begin with a talk that provides an overview of Black feminist pedagogies and theory as a way to reimagine curricula through intersectional and women of color feminisms. A portion of the talk will feature how one AfroLatinx trans-femme reads Black feminist theory in high school to read her own identity and how it informed her activism at school. Participants will have the opportunity to read excerpts of Black feminist theory to explore teacher identity and critical feminist pedagogies in the high school English classroom.
Hidden Treasures x Fashion Club GBM #4: Depop Workshop + Clothing Swap,"Wednesday, February 26 at 6:00PM EST",SAC 303,N/A,https://stonybrook.campuslabs.com/engage/event/11095447,"Wednesday (2/26) from 6-6:50 PM in SAC 303
Are you ready to turn your closet into cash and help the planet simultaneously? Join SBU Hidden Treasures and SBU Fashion Club for an exciting workshop where you’ll learn how to use Depop to resell your clothes and keep them in the fashion cycle! 🌟
In this interactive session, we’ll cover everything from setting up your Depop account to creating eye-catching listings that sell. Whether you’re a seasoned thrifter or a newbie to the resale game, this workshop is perfect for you!
But that’s not all! Stick around for a fun activity of clothing swap! Bring your unwanted clothes and exchange or give away your clothes! You may walk away with the treasure of your life! (Not required to bring things to participate but you can ❤️)
Don’t miss out on this opportunity to declutter, make some extra cash, and stay ahead of the curve with the newest campus app! See you there!
There will be snacks!"
Architecture and Urban Design Club: General Body Meeting,"Wednesday, February 26 at 6:00PM EST",SAC 302,Architecture and Urban Design Club,https://stonybrook.campuslabs.com/engage/event/10853813,"Hosted by Architecture and Urban Design Club at SBU, general body meetings involve various different activities that challenge members to think critically about the architecture and spaces around them.
Over the course of the semester, members will work in various groups rethinking some of the most underwhelming spots on campus. Each group will draw, write, and communicate creative design solutions that are specific to the selected site through intensive discussion and creative sessions. Members will create visuals that best represent their project and if time and effort provides, may feature detailed renderings. These projects typically span a couple of weeks during each meeting and are a great experience for those looking to develop their creative portfolios or gain experience in collaborative environments.
The club also seeks to incorporate additional activities for members to get involved in that pertain to architecture and urban design."
Mindful Moments,"Wednesday, February 26 at 6:00PM EST",Center for Prevention and Outreach,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11040516,"Research shows that people who practice mindfulness are happier, more motivated, more successful in relationships, have improved physical health, and experience less anxiety and depression.
With deep breathing exercises, we practice using our breath as a tool for relaxation. In this way, we witness negative thoughts gradually diminish, freeing us from the hold they have.
Join CPO Peer Educators in breathing away anxious thoughts to relax and calm the mind!
Email prevention_outreach@stonybrook.edu for accessibility needs."
"""How I Scored 180"" - Free LSAT Demon Class with Brandon McDole","Wednesday, February 26 at 6:00PM EST",Online,Pre-Law Society,https://stonybrook.campuslabs.com/engage/event/10969329,
R vs Excel,"Wednesday, February 26 at 7:00PM EST",LIBRARY E4315,Undergraduate Economics Association,https://stonybrook.campuslabs.com/engage/event/11077970,"Join the UEA Academic Subcommittee to explore Statistical Analysis! Learn how to navigate R Studio and Microsoft Excel, comparing their key differences and workflows. We'll cover everything from basic database management to simple linear regression."
Real Estate Development Lifecycle,"Wednesday, February 26 at 7:00PM EST",Harriman Hall 137,Real Estate Institute Club,https://stonybrook.campuslabs.com/engage/event/11099363,"Join us for an insightful discussion on the Real Estate Development Lifecycle, where we’ll break down the key stages of a successful development project—from site selection and acquisition to design, entitlements, construction, leasing, and management. Learn how legal and design elements influence development decisions and shape the built environment. Whether you're new to real estate or looking to deepen your knowledge, this event is a great opportunity to gain valuable insights and network with like-minded peers."
ACS at Stony Brook GBM #2: Resume Building,"Wednesday, February 26 at 7:00PM EST","Frey Hall, Room 316",American Cancer Society at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/11087598,"Join American Cancer Society at Stony Brook's second GBM of the semester to learn some tips and tricks for building a professional and competitive resume to showcase your unique qualities to the max! During the event, you will also have the chance to share and learn about on and off campus opportunities to further expand your experiences."
AMA-101,"Wednesday, February 26 at 7:00PM EST",SAC 304,American Marketing Association,https://stonybrook.campuslabs.com/engage/event/10765692,"Meet the AMA! We will give an overview of our club, preview upcoming events, as well as open up new E-Board Positions.  This is a chance to relax and meet some of our AMA-ers! 🎊"
"The New Battlefield: Open Source Investigation into Conflict and Disinformation w/Rhona Tarrant, CBS Confirmed (Marie Colvin Distinguished Lecture 2025)","Wednesday, February 26 at 6:00PM EST",Charles B. Wang Center Theater,School of Communication and Journalism,https://stonybrook.campuslabs.com/engage/event/11014927,"The Marie Colvin Center for International Reporting at the Stony Brook School of Communication and Journalism invites you to attend the 2025 Marie Colvin Distinguished Lecture, ""The New Battlefield: Open Source Investigations into Conflict and Disinformation"" with Rhona Tarrant, Executive Editor of CBS News Confirmed.
Our conversation on the new frontline of foreign reporting is free and open to the public. All are welcome!"
Healthcare Student Groups: Resume & Cover Letter Writing Workshop,"Wednesday, February 26 at 6:30PM EST",SAC Ballroom B,Career Center,https://stonybrook.campuslabs.com/engage/event/10909025,"Register on Handshake

Healthcare Student Groups: Resume & Cover Letter Writing Workshop"
Climbing Club GBM,"Wednesday, February 26 at 7:00PM EST",Frey Hall 226,Climbing Club,https://stonybrook.campuslabs.com/engage/event/10962067,Come to our weekly Climbing Club GBM in Frey 226 from 7-7:30PM! No experience necessary!
Actors Conservatory GBM,"Wednesday, February 26 at 7:00PM EST",Melville Library E4310,Actors Conservatory,https://stonybrook.campuslabs.com/engage/event/10967082,Join us in playing theatre-related games and find out more about our ongoing productions!
Movie Night,"Wednesday, February 26 at 7:00PM EST",Chinn Lounge/ Classroom,Tabler Community,https://stonybrook.campuslabs.com/engage/event/11096627,Join Chinn Hall Council for some chocolate strawberries and movie night!
UPD Self Defense Class with RA Izzy & RA Lex,"Wednesday, February 26 at 7:00PM EST",O'Neill Lounge,N/A,https://stonybrook.campuslabs.com/engage/event/10949036,"Join RA Izzy & RA Lex on Wednesday, February 26th at 7pm in the O'Neill Lounge for a self-defense class with UPD! You will learn about the importance of safety and how to defend yourself from UPD."
Peace Action GBM,"Wednesday, February 26 at 7:00PM EST",E&SSCI 069,Peace Action Stony Brook University,https://stonybrook.campuslabs.com/engage/event/11007120,"Peace Action is the nation’s largest grassroots peace network, with chapters and affiliates across the country placing pressure on congress and the administration to promote peace."
Environmental Club Movie Night,"Wednesday, February 26 at 8:00PM EST",SAC 302,Environmental Club,https://stonybrook.campuslabs.com/engage/event/11007668,Come join us in watching Animal Planet!
Wolfie's Big Band Rehearsal,"Wednesday, February 26 at 6:00PM EST",Union L03 (Basement Rehearsal Room),Wolfie’s Big Band,https://stonybrook.campuslabs.com/engage/event/10452145,"Wolfie's Big Band weekly rehearsal, practicing and working through music for upcoming performances throughout the semester. Anyone is welcome to attend and participate, new members are always welcome! (We recommend members have a basic ability to read music and play an instrument.)General Rehearsal Schedule:6:00 - 6:10 General Announcements and Welcome7:10 - 7:00 Rehearsing Music7:00 - 7:10 Break7:10 - 8:00 Rehearsing Music8:00 - 8:50 Additional rehearsal as needed, individual practice8:50 - 9:00 Clean-up"
USG Probationary Budget Committee Meetings (PBC) Spring 2025,"Wednesday, February 26 at 7:00PM EST","SAC 202, USG Suite",Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/11065049,"The Undergraduate Student Government Probationary Budget Committee is one of many committees held by the USG. The Probationary Budget Committee works towards reviewing PBC applications submitted by currently unfunded Clubs & Organizations.
Agendas to each Probationary Budget Committee Meeting are available upon request, and Meeting Minutes to each Probationary Budget Committee Meeting are available on the USG Website.
For Zoom Accessibility, or for any other questions, comments, and/or concerns, please do not hesitate to reach out to the Office of the VP of Clubs & Orgs: usg_clubsandorgs@stonybrook.edu"
USG Probationary Budget Committee Meetings (PBC) Spring 2025,"Wednesday, February 26 at 7:00PM EST","SAC 202, USG Suite",Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/11065050,"The Undergraduate Student Government Probationary Budget Committee is one of many committees held by the USG. The Probationary Budget Committee works towards reviewing PBC applications submitted by currently unfunded Clubs & Organizations.
Agendas to each Probationary Budget Committee Meeting are available upon request, and Meeting Minutes to each Probationary Budget Committee Meeting are available on the USG Website.
For Zoom Accessibility, or for any other questions, comments, and/or concerns, please do not hesitate to reach out to the Office of the VP of Clubs & Orgs: usg_clubsandorgs@stonybrook.edu"
Field Hockey Club Practice,"Wednesday, February 26 at 7:00PM EST",Campus Recreation Outdoor South Field Complex- Field A,Field Hockey Club Team,https://stonybrook.campuslabs.com/engage/event/10971469,"Join Stony Brook Field Hockey Club! We practice every week on Monday and Wednesday from 7-9PM. NO PRIOR EXPERIENCE IS REQUIRED TO PLAY! Whether you are new to the sport or have years of experience, we encourage you to join us! Equipment is provided."
Nail Art Night,"Wednesday, February 26 at 8:00PM EST",Wagner Hall Lounge,Roosevelt Community,https://stonybrook.campuslabs.com/engage/event/11031364,Come join us after our Wednesday GBMs to unwind and have some fun getting creative with your nails! This is also a great opportunity to get to know other residents and hall council members.
Wagner Hall General Body Meeting,"Wednesday, February 26 at 8:00PM EST",Wagner Lounge,Roosevelt Community,https://stonybrook.campuslabs.com/engage/event/10981379,"Come join Wagner Hall Council, get the news for upcoming events, and connect with the dorm!"
Slime Time Pt 2.,"Wednesday, February 26 at 8:00PM EST",Keller Hall Lounge,Roosevelt Community,https://stonybrook.campuslabs.com/engage/event/11094273,Join RA’s Serenity and Arafat in Keller halls lounge for a fun night of slime making.
Journaling for 2025: A Reflective Writing Workshop,"Wednesday, February 26 at 8:00PM EST",HUM 1023,Journal at Stony,https://stonybrook.campuslabs.com/engage/event/11100089,"Make 2025 yours with our Journaling for 2025 workshop! We’ll take a moment to reflect on the lessons of 2024, then dive into setting meaningful intentions for the year ahead. This interactive session will guide you through a series of fun prompts to help celebrate your wins, explore your growth, and shape the habits, goals, and self-care practices that will bring more meaning to your 2025.We'll tackle questions around personal growth, travel, passions, and the habits that will make this year fulfilling. Whether you're an expert or novice, this workshop is an opportunity to cultivate mindfulness, self-awareness, and intentional living. At the end, we'll wrap up by sharing insights and experiences to inspire one another!"
CASBxJSO collab,"Wednesday, February 26 at 7:00PM EST",SAC ballroom A,N/A,https://stonybrook.campuslabs.com/engage/event/10930444,"This CASBxJSO collaboration between the Japenese Student Association and the Chinese Association at Stony Brook is a new collab that will come with lots of fun activities, yummy food, and prizes."
Stony Brook Gospel Choir,"Wednesday, February 26 at 8:00PM EST",Staller A3220,Gospel Choir,https://stonybrook.campuslabs.com/engage/event/10970203,"
Gospel Choir Rehearsals: 🎶🎶🎶
Come join Gospel Choir on Wednesdays from 8-10PM and select Sundays for a safe place to worship and fellowship together.
Everyone is welcome, especially musicians and singers- no experience required.
These rehearsals are a space and time to unite, fellowship, and prepare for our end-of-semester concert and other events."
Stony Brook Gospel Choir,"Wednesday, February 26 at 8:00PM EST",Staller A3220,Gospel Choir,https://stonybrook.campuslabs.com/engage/event/10970202,"
Gospel Choir Rehearsals: 🎶🎶🎶
Come join Gospel Choir on Wednesdays from 8-10PM and select Sundays for a safe place to worship and fellowship together.
Everyone is welcome, especially musicians and singers- no experience required.
These rehearsals are a space and time to unite, fellowship, and prepare for our end-of-semester concert and other events."
SBU Club Swimming: Practice - Spring 2025,"Wednesday, February 26 at 9:00PM EST",University Pool,Club Swimming at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/10926687,"Join us for our daily swim practice, all skill levels welcome!
We do not offer a learn to swim program."
Wednesday Practice,"Wednesday, February 26 at 9:30PM EST",REC 128,Wrestling Team,https://stonybrook.campuslabs.com/engage/event/11006308,Wednesday Practice
Community Wellness Walk,"Thursday, February 27 at 8:30AM EST",Union Suite 108,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11067614,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Thursday February 27th from 8:30-9:30am one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs"
Table Tennis Ping Pong Practice Meeting,"Thursday, February 27 at 12:30PM EST",MAC Courts in Campus Rec,Table Tennis Club,https://stonybrook.campuslabs.com/engage/event/11007012,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https://discord.gg/adEQyyaudE"
Managing Your Publications & Biosketches - ORCID and SciENcv,"Thursday, February 27 at 1:00PM EST",Online,University Libraries,https://stonybrook.campuslabs.com/engage/event/11068297,"Organizing and managing your publications, particularly for grant biosketches, can be a challenge. The ORCID project is an international effort to provide every scholarly author with a unique identifier. SciENcv is a tool from the NCBI that allows researchers to create and store biosketches specifically formatted for NIH and NSF grants, including an automated import function from ORCID. These resources will be demonstrated. This workshop is led by Clara Tran, Head of Science and Engineering.

Please register ahead of time using this Zoom registration link."
Black History/Women's History Month Book Discussion,"Thursday, February 27 at 1:00PM EST",Online,University Libraries,https://stonybrook.campuslabs.com/engage/event/11041446,"In honor of Black History Month and Women's History Month, please join us for a lively virtual discussion of ""Glory in Their Spirit"", a book by Sandra M. Bolzenius that tells the story of four Black women who served in the Women's Army Corps during World War II and staged a courageous strike against the segregated military.
Access to the E-book is provided through University Libraries. Use this link.
Please register ahead of time using this Zoom Registration link.
It is not necessary to finish the book in order to join our discussion. Feel free to make note of a passage from the book that is interesting or meaningful to you and share it by reading aloud during our discussion."
Wolfiethon Pop-Up,"Thursday, February 27 at 1:00PM EST",SAC Lobby,Wolfiethon ,https://stonybrook.campuslabs.com/engage/event/11039373,"Biweekly tabling to provide outreach for people around campus and offer community service opportunities, involvement, and engagement"
History Club x Phi Alpha Theta: Spring Book Sale,"Thursday, February 27 at 10:00AM EST",1st Floor Lobby SBS Building,History Club,https://stonybrook.campuslabs.com/engage/event/11063895,"Come join the History Club and Phi Alpha Theta for our Spring Book sale!
Discover a wide selection of History books, from American and European history to Russian and Asian history; we have a little something for everyone! Perfect for the history buffs or the casual history enjoyer alike.
All proceeds will make the History Club a bigger and better organization, going towards events and trips! Ask E-Board members for more information.
Don't miss this opportunity to find your next great read while contributing to the growth of our vibrant academic community."
HIV and STI Testing,"Thursday, February 27 at 10:00AM EST","CPO Office, Union 108",Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10926811,"HIV and STI testing at the Center for Prevention and Outreach
provided by
FCA Sherpa Harm Reduction Services
Call or text to make an appointment (516) 732-3093
Appointments are strongly encouraged, walk-ins will be accepted when available
*testing provided is free and confidential*"
QPR Training,"Thursday, February 27 at 2:00PM EST",Virtual,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10836461,"Part of the CPO Upstander program - QPR teaches you how to recognize the signs of suicide and how to instill hope to live.

You must register for this training at tinyurl.com/cpobystander

To earn the Upstander Award (includes a certificate and graduation cord), you will need to complete the following:
May 2026 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2026
May 2027 graduates: complete Red Watch Band, QPR and Green Dot by January 1, 2027
May 2028 graduates: complete Red Watch Band, QPR, Green Dot AND Hands-Only CPR by January 1, 2028

For accessibility needs please contact prevention_outreach@stonybrook.edu"
Blitzball Practice,"Thursday, February 27 at 3:30PM EST",Multi-Activity Court,Blitzball Club,https://stonybrook.campuslabs.com/engage/event/11007053,"We will learn, practice, and play games of blitzball."
CPO Mini-Series: Communication Crash Course,"Thursday, February 27 at 4:00PM EST",CPO (Union 108),Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10996420,"Join CPO in this 3-part series to learn about healthy practices for communication, strategies for expressing your needs and setting boundaries, and skills for communicating across differences and managing conflict. Participation in all three sessions is not required!
Email prevention_outreach@stonybrook.edu for accessibility needs."
Mindful Moments,"Thursday, February 27 at 4:30PM EST",Center for Prevention and Outreach,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10919697,"Research shows that people who practice mindfulness are happier, motivated, have successful relationships, good physical health, less anxiety and less depression. Students can explore different ways to relax the body & calm the mind through peer led guided mindfulness activities.
Join CPO Peer Educators to explore different ways to relax the body and calm the mind!
Email prevention_outreach@stonybrook.edu for accessibility needs"
Black History 101 Mobile Museum,"Thursday, February 27 at 12:00PM EST","Stony Brook Union Ballroom (2nd level, Rm 203-20)",N/A,https://stonybrook.campuslabs.com/engage/event/10793371,"The Black History 101 Mobile Museum Comes to Stony Brook University on Thursday, February 27th, 2025 from 12:00 PM - 6:00 PM in the SB Union Ballroom (Room 203-20, 2nd Floor).
Be present in the same room with original artifacts, documents, and historically significant items that tell the story of the African American experience.  Come to personally view this extraordinary collection encompassing various themes, including but not limited to slavery, politics, Jim Crow, science, religion, education, music, sports, and civil rights. The Black History 101 Mobile Museum is a collection of over 7,000 original artifacts of Black memorabilia dating from the trans-Atlantic slave trade era to hip-hop culture.
The Black History 101 Mobile Museum was founded and curated by Dr. Khalid el-Hakim.  He has been called the ""Schomburg of the Hip-Hop generation"" because of his passionate commitment to carry on the rich tradition of the Black Museum Movement.
Light Refreshments Black History Month Closing to follow.

Sponsored by Diversity, Intercultural and Community Engagement (DICE), Diversity, Inclusion, and Intercultural Initiatives (DI3), and Student Engagement and Activities"
Mindful Living Society Open Meditation and Teachings,"Thursday, February 27 at 5:00PM EST",SAC 226,Mindful Living Society,https://stonybrook.campuslabs.com/engage/event/11100560,"Join us in our weekly discussion and meditation on Thursday, February 27th at SAC room 226! Below is the itinerary for the meeting:
We look forward to seeing you there!"
Sherlock Holmes Escape Room,"Thursday, February 27 at 5:00PM EST",SAC 305,N/A,https://stonybrook.campuslabs.com/engage/event/10969292,"Want to put your puzzle-solving skills to the test? Want to be immersed in a thrilling narrative and solve a complicated mystery? Then this original escape room is perfect for you!

SBCS is proud to present our Sherlock Holmes-inspired escape room where you can solve puzzles and discover clues to uncover an overarching mystery. This is a great way to test your critical thinking and teamwork skills while also competing against teams to win an awesome prize! What are you waiting for? Join us in SAC 305 on Thursday, February 27th from 5 PM to 7 PM!"
Womens Club Lacrosse Practice,"Thursday, February 27 at 5:00PM EST",South P Field A (Lot 40),Women's Club Lacrosse,https://stonybrook.campuslabs.com/engage/event/10971507,Join us for our weekly practices! All skill levels are welcome. Equipment is available to borrow.
CASB: China Night Audition,"Thursday, February 27 at 6:00PM EST",Union 203-11,Chinese Association at Stony Brook ,https://stonybrook.campuslabs.com/engage/event/11061823,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6-10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of:✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨"
Ceramics Club GBM #4: Hippers Event!,"Thursday, February 27 at 6:00PM EST",Student Union Club Hub (Multipurpose Room),Ceramics Club,https://stonybrook.campuslabs.com/engage/event/11066878,"Join us at our fourth GBM of the spring semester on February 27th at 6 PM in the Student Union Club Hub (Multipurpose Room) to create Sonny Angel hippers using clay!
**Please note that this event is first-come first serve, in which this event will be limited to 40 people."
VAW Dental meeting,"Thursday, February 27 at 6:00PM EST",LIBRRY E4310,Volunteers Around the World: Dental Outreach,https://stonybrook.campuslabs.com/engage/event/11077068,"We will be hosting weekly meetings from 6 to 7 PM, which will include necessary trainings to prepare dental interns for their upcoming dental internship abroad."
Handball Collegiates Recovery and Review,"Thursday, February 27 at 6:00PM EST",Campus Recreation Center Multipurpose Room,Handball Club,https://stonybrook.campuslabs.com/engage/event/11076737,"Come join the handball club and cool down after the first month of the semester! We'll be offering free food, chilling, and watching clips from the 72nd USHA 4-wall National Collegiate Championship that will have just taken place, analyzing the games of the best college-level handball players in the country. Hope to see you there!"
SB Speech Wolves Toastmasters International,"Thursday, February 27 at 6:00PM EST",SB Union L03-15,N/A,https://stonybrook.campuslabs.com/engage/event/10635295,"Toastmasters is a fun way to improve your communication skills, build confidence, sharpen your public speaking, and develop your leadership experience to help your career.
Join us at our next meeting to learn more about how you can build a brighter future for yourself! Guests are welcome, no fee, no pressure - laughing is encouraged. Come anytime you can.
Visit the Stony Brook Speech Wolves website for more details about joining your local club and how to access resources and member benefits. Pathways Program is seeing great success. Sign on to www.toastmasters.org for articles and videos - new program materials are online.
Club name: Stony Brook Speech Wolves Date: 2nd and 4th Thursdays Time: 6:00-7:30 PM Location: Stony Brook Union L03-15
Members and Guests are welcome to attend in person or via Zoom:Meeting ID: 942 7343 8506Passcode: 081693
For questions, please contact our club VP of Education, Karian Wright at karian.wright.tm@gmail.com"
KCF GBM,"Thursday, February 27 at 7:00PM EST",Staller FINART M0113,Korean Christian Fellowship,https://stonybrook.campuslabs.com/engage/event/10925527,"Weekly meeting for members to fellowship, meet, and worship together."
Ramen Night,"Thursday, February 27 at 7:00PM EST",Eisenhower Kitchen,N/A,https://stonybrook.campuslabs.com/engage/event/11044661,"Join RAs Alanna, Linda, Eleanor and Laila in the Eisenhower kitchen for Ramen Night!
Whether you're a ramen enthusiast or have never tried it before, come for a night filled with great flavors and good vibes. There will be two types of ramen, with one being a vegetarian option! At the end of the night, there will be a raffle for a ramen bowl! Make sure to come for a chance of winning!
If you need help entering the building, please call 631 - 632 - 6666.
"
Disability Alliance - General Body Meeting,"Thursday, February 27 at 7:00PM EST",Frey Hall 112,Disability Alliance,https://stonybrook.campuslabs.com/engage/event/11082680,Community for disabled students and allies of Stony Brook University working towards disability justice!
Suturing with an Artistic Twist,"Thursday, February 27 at 7:00PM EST",Library W4540,Artists in Medicine,https://stonybrook.campuslabs.com/engage/event/11045597,"Join Artists in Medicine for our first event of the semester! To start off the year, we will be joined by a medical student from Stony Brook Medicine to learn how to suture together with our very own suturing kits! Come while supplies last!"
NNCEMS General Body Meeting,"Thursday, February 27 at 7:00PM EST",Frey Hall 222,Non-Native Communication in Emergency Medical Services,https://stonybrook.campuslabs.com/engage/event/11026146,Come to NNCEMS's GBMs to learn EMS-focused communication!
LGBTA General Body Meeting!,"Thursday, February 27 at 7:00PM EST",SAC 306,Lesbian Gay Bisexual Transgender Alliance,https://stonybrook.campuslabs.com/engage/event/11080623,"Join the LGBTA on Thursdays from 7-8 PM in SAC 306 for our general body meetings! Check out our upcoming meetings below:
1. Poetry/Writing Workshop (SAC 311) - 2/20
2. Improv Night - 2/27
3. Fashion Show and Tell - 3/6
4. Hangout/Study Session - 3/13
5. TOD Talks - 3/27
6. Zine Night (SAC 311) - 4/10
7. Game Show Night - 4/17
And more! Please feel free to get in touch with us at our meetings, over email at sblgbta@gmail.com, on social media/discord, or join our mailing list. Can't wait to see you there!"
The Beer Goggles Challenge,"Thursday, February 27 at 7:00PM EST",Hamilton Classroom,N/A,https://stonybrook.campuslabs.com/engage/event/11095243,"Join the Residential Conduct and Community Standards team to learn about the impacts of alcohol on visual impairment. Try out beer goggles and simulate different activities ""under the influence."" Athletic clothing and sneakers are advised as there will be physical obstacles!"
